title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Return of the Living Dead Part II,Comedy,True,6.2,9.205924,1.0,5.8,6.606325,89.0,17,2,62.442347000000005,0.0,1.0,True,27,January,1988
The Serpent and the Rainbow,Horror,False,7.0,19.595031,1.0,6.2,7.791952,98.0,19,22,43.913667000000004,59.493244,6.446968593314956,True,23,February,1988
The Unbearable Lightness of Being,Comedy,False,17.0,10.006806,1.0,7.0,6.8151470000000005,171.0,20,15,2.4515449999999994,68.546533,1.0,True,29,February,1988
Action Jackson,Action,False,7.0,20.256975,2.0,4.9,14.054862,96.0,19,7,350.793397,0.0,8.013808466666667,True,13,February,1988
Frantic,Crime,False,20.0,17.63795,2.0,6.6,8.105858999999999,120.0,13,17,2742.149545,65.037251,1.0,True,7,February,1988
Bloodsport,Action,True,1.5,11.806119,1.0,6.6,8.822275999999997,92.0,9,12,4.6621369999999995,0.0,3.0517245569620255,True,10,February,1988
Beetlejuice,Fantasy,False,15.0,73.326666,2.0,7.1,10.627364,92.0,28,30,60.854517,40.940662,10.248673709677423,True,11,February,1988
Prison,Crime,False,1.3,0.354704,1.0,6.7,11.582419,102.0,15,9,0.0,0.0,5.473745807259074,True,6,March,1988
Off Limits,Action,False,12.0,7.242035,2.0,5.6,11.516965,102.0,6,14,287.721056,0.0,4.91271621584275,True,9,March,1988
Biloxi Blues,Comedy,False,20.0,51.684798,2.0,6.4,4.619593,106.0,13,13,380.77968599999997,192.217564,6.413404032642677,True,11,March,1988
Above the Law,Action,False,7.5,18.869631,1.0,5.9,5.283245,99.0,8,10,55.955461,20.345360999999997,4.7599049174046275,True,11,April,1988
Bad Dreams,Horror,False,4.0,9.797098,1.0,5.3,5.296777,86.0,13,21,41.500369000000006,0.0,1.0,True,9,April,1988
Colors,Action,False,6.0,46.616067,1.0,6.6,5.529808,120.0,11,8,334.5104600000001,0.0,3.934692160841789,True,6,April,1988
Bulletproof,Action,False,5.0,0.807947,1.0,6.5,0.183677,94.0,14,11,372.131742,21.729309,1.0,True,11,April,1988
Permanent Record,Drama,False,8.0,1.893139,,5.7,1.194377,91.0,15,44,0.014000000000000012,0.0,1.0,True,15,April,1988
Powaqqatsi,Documentary,True,2.5,0.589244,3.0,7.4,2.726061,99.0,0,11,,1.723872,1.0,True,10,April,1988
Sunset,Action,False,16.0,4.594452,3.0,5.6,1.835663,102.0,10,3,176.45687200000003,363.1060590000001,1.0,True,6,April,1988
Critters 2,Comedy,True,4.5,3.813293,2.0,5.0,9.97523,86.0,15,11,3.2616379999999996,0.0,4.889474786391176,True,9,April,1988
Willow,Adventure,False,35.0,57.269863,3.0,6.9,9.918312,126.0,27,56,390.288941,212.84175100000004,15.588113078332697,True,6,May,1988
Friday the 13th Part VII: The New Blood,Horror,True,2.8,19.170001,1.0,5.3,7.909022,88.0,16,12,0.0,5.450814999999999,5.395300181245344,True,32,May,1988
Rambo III,Action,True,63.0,189.015611,2.0,5.7,11.624866,102.0,16,25,1961.255964,0.0,2.696979871912168,True,8,May,1988
Big,Fantasy,False,18.0,151.66877399999996,3.0,6.9,9.562292,104.0,15,11,302.450697,0.0,2.5624702,True,3,June,1988
Pumpkinhead,Fantasy,True,3.5,4.385516,2.0,5.9,11.841506,86.0,20,17,6.67068,0.0,1.0793862314049587,True,11,June,1988
Poltergeist III,Horror,True,10.5,14.144,1.0,4.6,7.977692999999999,98.0,8,8,346.556385,0.21616599999999941,2.933277225963508,True,14,June,1988
Bull Durham,Comedy,False,7.0,50.88800000000001,2.0,6.6,6.924072,108.0,16,45,388.51761,0.0,4.019248993017273,True,10,June,1988
The Great Outdoors,Comedy,False,24.0,43.45523,2.0,6.4,11.666172,91.0,13,12,739.152338,59.025611,6.3310378590625955,True,16,June,1988
Red Heat,Action,False,29.0,34.994648,4.0,5.8,14.25013,104.0,12,14,538.0581050000001,181.81511,2.7635358054795955,True,7,June,1988
Who Framed Roger Rabbit,Fantasy,False,70.0,329.803958,4.0,7.2,16.78596,104.0,16,22,391.282233,479.397321,5.1126354375,True,20,June,1988
Coming to America,Comedy,False,39.0,288.752301,2.0,6.5,7.830087,116.0,14,12,1021.2384079999999,385.303139,5.64036064443281,True,15,June,1988
The New Adventures of Pippi Longstocking,Fantasy,False,5.0,3.569939,1.0,5.8,3.0781110000000003,100.0,13,15,0.0,30.784331999999996,2.5734952086896756,True,35,July,1988
License to Drive,Comedy,False,8.0,22.433275,2.0,6.1,9.631158,90.0,8,10,157.913428,0.0,4.840072272509936,True,14,July,1988
Phantasm II,Action,True,3.0,7.282850999999999,3.0,6.3,8.733191999999999,97.0,14,8,11.988469,26.044997000000002,6.196223757476355,True,10,July,1988
A Fish Called Wanda,Comedy,False,7.5,62.493712,2.0,7.1,11.400353,108.0,25,27,333.297414,0.0,2.8903656297285645,True,16,July,1988
Die Hard,Action,True,28.0,140.767956,3.0,7.5,16.640522,131.0,47,75,98.915818,98.235548,4.817445858045063,True,7,July,1988
Akira,Science Fiction,False,8.0,0.553171,8.0,7.8,10.888917,124.0,12,22,0.0,0.0,1.0,False,5,July,1988
Midnight Run,Adventure,False,30.0,38.413606,2.0,7.2,5.564321,126.0,8,19,489.826276,316.360478,6.182226821830847,True,11,July,1988
Cocktail,Drama,False,20.0,171.504781,1.0,5.7,9.270831,104.0,13,9,562.774969,44.12297699999999,10.06528056,True,8,July,1988
Monkey Shines,Thriller,False,7.0,5.344576999999999,1.0,6.2,8.120652,113.0,13,12,27.912004999999997,140.02875500000002,4.100772665711214,True,12,July,1988
The Blob,Horror,False,19.0,8.247943,2.0,6.3,10.874079,95.0,27,66,0.12487999999999921,44.793222,2.630767095375951,True,7,August,1988
Vibes,Romance,False,1.884,1.883811,2.0,6.0,7.368927999999999,99.0,34,15,106.570391,0.0,1.0,True,5,August,1988
The Last Temptation of Christ,Drama,False,7.0,8.373585,2.0,7.0,11.370288,164.0,15,8,262.352884,117.48782899999999,6.006690249769679,True,25,August,1988
Young Guns,Crime,True,13.0,44.726644,2.0,6.6,9.905174,107.0,19,10,174.25972200000004,0.0,4.825307840537579,True,9,August,1988
Married to the Mob,Comedy,False,10.0,21.486757,3.0,5.8,5.611184,104.0,25,38,158.331167,13.341891,4.039865421181405,True,15,August,1988
A Nightmare on Elm Street 4: The Dream Master,Horror,True,7.0,72.5,1.0,5.8,8.120317,99.0,29,15,74.79243500000001,0.35470399999999813,4.39364969333515,True,37,August,1988
Hot to Trot,Comedy,False,9.0,6.436211,1.0,5.1,1.99161,88.0,7,15,260.812583,0.0,4.770823737758894,True,9,August,1988
Earth Girls Are Easy,Music,False,10.0,3.916303,3.0,5.5,11.509677,100.0,21,13,203.168795,0.0,1.088880984375,True,17,September,1988
